R/R0  R/10^3 T_6    rho           M_o    L_o  log(P)
0.000    0.0 15.5   160.0        0.000  0.000  17.53
0.040   28.0 15.0   141.0        0.008  0.080  17.46
0.100   70.0 13.0    89.0        0.070  0.420  17.20
0.200  139.0  9.5    41.0        0.350  0.940  16.72
0.300  209.0  6.7    13.3        0.640  0.998  16.08
0.400  278.0  4.8     3.6        0.850  1.000  15.37
0.500  348.0  3.4     1.00       0.940  1.000  14.67
0.600  418.0  2.2     0.35       0.982  1.000  14.01
0.700  487.0  1.2     0.08       0.994  1.000  13.08
0.800  557.0  0.7     0.018      0.999  1.000  12.18
0.900  627.0  0.31    0.0020     1.000  1.000  10.94
0.950  661.0  0.16    0.0004     1.000  1.000   9.82
0.990  689.0  0.052   0.00005    1.000  1.000   8.32
0.995  692.5  0.031   0.00002    1.000  1.000   7.68
0.999  695.3  0.014   0.0000001  1.000  1.000   6.15
1.000  696.0  0.006   0.0        1.000  1.000
